buy_brown,buy_light_blue,buy_pink,buy_orange,buy_red,buy_yellow,buy_green,buy_indigo,buy_stations,buy_utilities,max_development_level,unspendable_cash,n_games,actual_win_rate,avg_predicted_win_prob,roi,props,houses,hotels,turns
True,True,False,False,True,False,True,True,False,True,5,50,100,0.32,0.3349460750998415,4.3761133333333335,7.88,1.42,1.79,148.93
False,True,True,True,True,False,True,True,True,True,5,0,100,0.3,0.3349307110277083,3.6235133333333334,8.66,1.29,1.66,147.08
False,True,True,True,False,True,False,True,False,True,5,0,100,0.31,0.3348314632910081,3.4698066666666665,7.9,1.16,1.47,134.82
True,True,False,True,True,True,False,False,True,False,3,50,100,0.28,0.3347047577206719,3.9330333333333334,8.4,1.46,1.93,137.53
True,False,True,True,True,False,False,True,True,False,5,0,100,0.3,0.334460585046107,3.9579333333333335,7.84,1.32,1.47,153.82
True,True,True,True,True,False,False,False,False,True,3,0,100,0.33,0.33406671433489327,3.3925733333333334,8.06,1.31,1.49,124.99
True,False,False,False,False,False,True,False,True,False,3,100,100,0.3,0.33405143626888933,3.3523666666666667,7.78,1.78,1.39,130.76
True,True,False,False,True,False,True,False,False,True,3,0,100,0.34,0.3340271753238956,3.3726466666666663,9.1,1.28,2.27,112.67
False,True,True,True,False,False,True,False,False,True,5,100,100,0.31,0.3339834949486993,3.9707866666666667,7.74,1.38,1.43,137.11
True,False,True,True,True,True,False,True,False,True,3,50,100,0.3,0.33387941355115125,3.495933333333334,7.71,1.4,1.62,143.42
True,False,True,True,True,True,False,True,True,False,5,0,100,0.31,0.33384930098836874,4.265173333333333,8.19,1.12,1.27,165.52
False,True,True,False,False,True,False,False,False,False,3,50,100,0.28,0.3336726409792678,2.92846,7.42,1.67,1.4,120.1
False,True,False,True,True,False,True,False,False,True,5,50,100,0.32,0.33327407027434297,3.4470866666666664,6.8,0.86,1.21,142.17
True,False,False,True,True,False,True,True,False,True,5,100,100,0.31,0.33305220154003073,3.1290933333333335,8.1,2.48,1.8,124.52
True,False,True,True,True,True,False,False,False,True,5,50,100,0.35,0.3328377874418482,4.791633333333333,7.58,1.35,1.51,142.16
True,True,False,True,True,False,False,True,True,False,5,50,100,0.32,0.3327969091887653,4.34914,7.39,1.47,1.58,160.76
True,False,True,True,False,True,True,False,True,False,5,50,100,0.33,0.3326722398937476,4.544426666666666,8.76,1.07,1.78,138.81
False,True,True,True,False,False,True,False,True,True,5,0,100,0.32,0.33225863899150565,4.048206666666667,8.2,1.15,1.56,140.19
True,True,False,True,True,True,False,True,False,False,3,100,100,0.31,0.33225613026548323,4.14266,8.26,1.58,1.65,146.6
False,True,True,True,True,True,False,True,True,False,5,50,100,0.31,0.33225066348154286,3.40008,7.84,1.01,1.36,128.43
True,False,True,False,False,False,False,False,False,False,5,50,100,0.33,0.332182028432252,3.3474533333333336,7.75,1.1,1.43,135.1
