game_number	player_bankrupt	turn
609	Charly	76
609	Alice	79
611	Hero	57
611	Charly	60
611	Bob	82
612	Bob	39
612	Hero	46
612	Alice	65
616	Hero	71
616	Alice	77
616	Bob	85
617	Alice	37
617	Charly	53
617	Hero	56
618	Charly	42
618	Hero	43
618	Alice	52
619	Bob	36
619	Alice	49
619	Hero	53
620	Bob	27
620	Alice	43
620	Hero	55
621	Bob	88
621	Charly	90
621	Alice	98
623	Hero	28
623	Alice	29
623	Charly	34
626	Charly	25
626	Hero	50
626	Bob	58
627	Hero	18
627	Charly	29
627	Bob	30
628	Alice	69
628	Charly	102
628	Hero	117
629	Hero	43
629	Alice	50
629	Charly	58
630	Charly	25
630	Hero	32
630	Alice	35
631	Hero	19
631	Charly	33
631	Alice	34
632	Alice	29
632	Bob	45
632	Hero	48
633	Hero	32
633	Alice	35
633	Charly	38
634	Alice	31
634	Hero	35
634	Bob	38
635	Bob	71
635	Hero	73
635	Alice	74
636	Bob	33
636	Alice	51
636	Charly	53
637	Bob	81
637	Alice	87
637	Hero	108
638	Hero	47
638	Charly	50
638	Alice	60
639	Alice	81
639	Charly	87
639	Hero	109
640	Hero	56
640	Charly	66
640	Bob	137
644	Alice	56
644	Hero	63
644	Charly	68
646	Charly	43
646	Alice	53
646	Hero	57
647	Alice	50
647	Hero	51
647	Charly	59
648	Charly	63
648	Alice	71
648	Hero	78
649	Hero	65
649	Alice	69
649	Bob	85
650	Charly	16
650	Hero	71
650	Bob	95
651	Charly	29
651	Bob	38
651	Hero	52
652	Alice	21
652	Hero	37
652	Charly	37
654	Bob	41
654	Alice	79
654	Hero	80
655	Charly	38
655	Alice	39
655	Bob	63
656	Alice	33
656	Bob	40
656	Hero	41
657	Charly	40
657	Hero	41
657	Alice	61
658	Bob	30
658	Hero	37
658	Charly	76
660	Hero	42
660	Charly	45
660	Bob	54
661	Hero	65
661	Charly	73
661	Alice	97
662	Hero	70
662	Charly	140
662	Bob	172
663	Alice	58
663	Charly	60
663	Bob	109
664	Bob	62
664	Charly	66
664	Hero	67
665	Hero	78
665	Bob	80
665	Charly	85
666	Alice	35
666	Bob	40
666	Hero	61
669	Alice	34
669	Bob	38
669	Hero	44
670	Hero	42
670	Bob	43
670	Alice	56
671	Alice	67
671	Hero	97
671	Bob	98
672	Hero	32
672	Charly	34
672	Bob	59
673	Bob	54
673	Charly	74
673	Hero	79
674	Hero	24
674	Bob	29
674	Charly	43
675	Alice	29
675	Hero	39
675	Charly	39
677	Alice	26
677	Bob	38
677	Hero	38
678	Hero	40
678	Alice	59
678	Bob	68
679	Hero	34
679	Bob	34
679	Charly	42
680	Hero	41
680	Alice	48
680	Charly	49
681	Alice	41
681	Hero	52
681	Bob	70
682	Charly	84
682	Hero	95
682	Alice	106
683	Hero	36
683	Bob	38
683	Charly	49
684	Bob	49
684	Alice	60
684	Charly	60
685	Bob	46
685	Alice	57
685	Charly	61
686	Alice	62
686	Bob	74
686	Charly	96
687	Alice	40
687	Charly	64
687	Bob	71
688	Bob	44
688	Charly	54
688	Hero	61
689	Bob	28
689	Hero	76
689	Charly	79
692	Alice	47
692	Bob	48
692	Hero	75
694	Alice	41
694	Hero	45
694	Charly	47
695	Hero	42
695	Alice	49
695	Bob	52
697	Bob	35
697	Charly	47
697	Alice	49
698	Bob	38
698	Alice	44
698	Hero	54
700	Alice	73
700	Charly	75
700	Bob	146
701	Hero	56
701	Charly	59
701	Alice	60
703	Charly	65
703	Alice	74
703	Hero	82
705	Alice	36
705	Charly	42
705	Bob	86
709	Alice	29
709	Bob	30
709	Hero	35
710	Charly	46
710	Hero	54
710	Bob	96
711	Alice	64
711	Bob	73
711	Hero	100
714	Bob	39
714	Alice	43
714	Hero	53
715	Hero	33
715	Bob	42
715	Alice	49
716	Alice	27
716	Bob	43
716	Hero	55
717	Charly	86
